curr_codes,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
GMD,,,,,9.69413,9.66479,9.86685,10.18713,10.63033,11.32304,12.66564,15.73739,19.20385,26.34921,28.99417,27.76271,27.05792,24.11318,21.90857,26.04546,26.98839,27.26733,30.26262,33.16417,37.49431,,,,,
GNF,,,,,,1008.4886,993.26503,1069.03885,1224.6094,1335.78501,1672.45902,1901.84164,1903.58438,1931.56301,2204.04153,3508.22501,4873.42479,4386.75392,4553.825,4840.77775,5545.3963,6833.70792,7033.29044,6939.00595,6895.74923,,,,,
GTQ,,,,,,5.77761,6.0796,6.05423,6.36989,7.33399,7.75757,7.76078,7.54932,7.70914,7.74022,7.5532,7.3301,7.45875,7.42153,8.01039,7.92282,7.64964,7.68406,7.71407,7.71853,,,,,
GYD,,,,,,142.50579,139.15902,141.80249,145.45808,166.93912,180.97077,180.49315,179.35616,178.51178,178.68169,182.8863,190,193.15671,193.76189,192.74521,203.22844,203.24,200.63738,200,200,,,,,
HKD,7.789,7.77037,7.7396,7.73498,7.72824,7.7352,7.73391,7.74203,7.74574,7.75862,7.79176,7.79926,7.79788,7.78523,7.78764,7.77662,7.76776,7.80126,7.78609,7.75109,7.76822,7.7839,7.75667,7.75638,7.754,,,,,
HNL,,,,,,9.25388,10.78552,12.88729,13.40381,14.24133,14.90529,15.26627,15.75111,16.78079,17.67892,18.02429,18.09543,18.45603,18.70426,18.55501,18.54409,18.54723,18.9323,19.73124,19.82086,,,,,
HRK,,,,,,5.28002,5.38895,6.123,6.34627,7.09274,8.2653,8.28063,7.58284,6.44147,5.79493,5.92165,5.83115,5.3564,4.92769,5.27042,5.48829,5.33369,5.83737,5.69895,5.58442,,,,,
HTG,,,,,,19,16.27706,16.14035,16.94825,16.80795,20.37024,23.82728,27.91364,39.10708,35.72302,37.88303,38.01601,35.12657,37.80676,39.04868,39.05557,39.6147,40.86737,41.98803,42.77085,,,,,
HUF,,,,,,133.89183,149.39246,186.79671,214.3633,237.18927,282.64256,286.22296,257.36915,223.76778,202.33019,199.21315,210.05652,183.26533,171.89845,201.6182,207.70931,200.67854,224.83176,223.40798,218.70162,,,,,
IDR,,,,2100.73343,2159.62575,2243.70586,2327.33145,2889.97334,10102.64247,7817.46027,8373.12806,10228.84682,9290.80959,8552.42904,8928.05219,9699.58219,9157.44386,9124.97901,9661.71268,10387.20332,9056.72625,8724.10644,9329.20134,10394.65364,12054.84615,,,,,
